index,data,is_discord,cluster_belong
214,4.85,N,7
215,4.84,N,7
216,4.86,N,7
217,4.87,N,7
218,4.86,N,7
219,4.85,N,7
220,4.85,N,7
221,4.85,N,7
222,4.87,N,7
223,4.87,N,5
224,4.86,N,5
225,4.85,N,12
226,4.85,N,12
227,4.85,N,5
228,4.86,N,5
229,4.87,N,6
230,4.86,N,6
231,4.84,N,27
232,4.84,N,27
233,4.84,N,17
234,4.84,N,17
235,4.86,N,20
236,4.86,N,20
237,4.85,N,27
238,4.84,N,27
239,4.84,N,15
240,4.84,N,3
241,4.86,N,20
242,4.87,N,20
243,4.85,N,19
244,4.85,N,15
245,4.84,N,15
246,4.85,N,3
247,4.85,N,23
248,4.83,N,23
249,4.82,N,20
250,4.8,N,21
251,4.82,N,2
252,4.83,N,11
253,4.85,N,24
254,4.84,N,12
255,4.81,N,10
256,4.8,N,8
257,4.81,N,1
258,4.81,N,1
259,4.82,N,3
260,4.81,N,20
261,4.79,N,12
262,4.78,N,11
263,4.76,N,11
264,4.77,N,7
265,4.79,N,3
266,4.78,N,6
267,4.78,N,18
268,4.75,N,21
269,4.76,N,4
270,4.77,N,25
271,4.78,N,4
272,4.76,N,18
273,4.76,N,7
274,4.75,N,7
275,4.75,N,7
276,4.77,N,7
277,4.77,N,7
278,4.77,N,12
279,4.76,N,12
280,4.75,N,12
281,4.75,N,7
282,4.75,N,6
283,4.77,N,6
284,4.76,N,6
285,4.76,N,7
286,4.74,N,17
287,4.75,N,17
288,4.77,N,17
289,4.78,N,7
290,4.78,N,5
291,4.78,N,27
292,4.77,N,27
293,4.76,N,17
294,4.78,N,5
295,4.79,N,20
296,4.78,N,20
297,4.78,N,5
298,4.78,N,5
299,4.78,N,15
300,4.79,N,15
301,4.79,N,5
302,4.8,N,9
303,4.79,N,5
304,4.79,N,5
305,4.79,N,5
306,4.81,N,9
307,4.83,N,24
308,4.82,N,24
309,4.8,N,9
310,4.79,N,19
311,4.78,N,0
312,4.8,N,0
313,4.81,N,24
314,4.81,N,2
315,4.81,N,10
316,4.78,N,10
317,4.79,N,13
318,4.81,N,26
319,4.83,N,1
320,4.81,N,6
321,4.79,N,9
322,4.79,N,26
323,4.78,N,11
324,4.8,N,0
325,4.82,N,2
326,4.82,N,3
327,4.82,N,21
328,4.82,N,2
329,4.81,N,2
330,4.82,N,11
331,4.83,N,4
332,4.82,N,4
333,4.8,N,4
334,4.8,N,2
335,4.8,N,2
336,4.82,N,11
337,4.82,N,11
338,4.81,N,4
339,4.81,N,13
340,4.81,N,13
341,4.82,N,13
342,4.82,N,8
343,4.84,N,6
344,4.86,N,23
345,4.85,N,23
346,4.84,N,12
347,4.86,N,22
348,4.87,N,16
349,4.89,N,16
350,4.9,N,16
351,4.9,N,19
352,4.89,N,0
353,4.92,N,0
354,4.94,N,0
355,4.97,N,9
356,4.98,N,9
357,4.97,N,9
358,4.97,N,9
359,5,N,16
360,5.02,N,1
361,5.03,N,1
362,5.04,N,1
363,5.03,N,19
364,5.03,N,19
365,5.03,N,19
366,5.05,N,19
367,5.07,N,9
368,5.07,N,9
369,5.06,N,9
370,5.01,N,9
371,4.99,N,2
372,4.96,N,2
373,4.94,N,2
374,4.9,N,2
375,4.85,N,26
376,4.8,N,26
377,4.77,N,26
378,4.75,N,26
379,4.77,N,26
380,4.77,N,26
381,4.77,N,26
382,4.76,N,26
383,4.76,N,3
384,4.76,N,3
385,4.78,N,3
386,4.78,N,3
387,4.77,N,11
388,4.75,N,11
389,4.74,N,11
390,4.73,N,2
391,4.76,N,4
392,4.78,N,4
393,4.8,N,4
394,4.78,N,11
395,4.76,N,17
396,4.77,N,17
397,4.78,N,6
398,4.78,N,6
399,4.77,N,1
400,4.77,N,1
401,4.77,N,17
402,4.78,N,25
403,4.77,N,7
404,4.77,N,7
405,4.75,N,27
406,4.75,N,21
407,4.76,N,21
408,4.78,N,21
409,4.79,N,10
410,4.79,N,12
411,4.77,N,12
412,4.76,N,12
413,4.75,N,1
414,4.75,N,3
415,4.74,N,3
416,4.73,N,3
417,4.75,N,11
418,4.78,N,11
419,4.81,N,13
420,4.85,N,13
421,4.87,N,6
422,4.86,N,6
423,4.78,N,6
424,4.7,N,6
425,4.63,N,4
426,4.61,N,25
427,4.63,N,24
428,4.64,N,24
429,4.63,N,11
430,4.59,N,7
431,4.55,N,21
432,4.52,N,21
433,4.49,N,21
434,4.47,N,21
435,4.44,N,10
436,4.4,N,10
437,4.34,N,18
438,4.28,N,18
439,4.22,N,3
440,4.21,N,3
441,4.19,N,7
442,4.19,N,7
443,4.21,N,11
444,4.24,N,11
445,4.27,N,12
446,4.3,N,12
447,4.37,N,12
448,4.44,N,12
449,4.51,N,6
450,4.57,N,6
451,4.61,N,6
452,4.64,N,6
453,4.68,N,17
454,4.73,N,17
455,4.77,N,17
456,4.81,N,17
457,4.82,N,5
458,4.82,N,5
459,4.82,N,5
460,4.82,N,5
461,4.83,N,5
462,4.85,N,5
463,4.86,N,5
464,4.85,N,5
465,4.83,N,19
466,4.82,N,19
467,4.85,N,1
468,4.87,N,1
469,4.88,N,19
470,4.86,N,19
471,4.84,N,19
472,4.85,N,19
473,4.86,N,2
474,4.88,N,2
475,4.88,N,9
476,4.87,N,9
477,4.88,N,26
478,4.86,N,26
479,4.86,N,2
480,4.85,N,2
481,4.88,N,1
482,4.89,N,1
483,4.9,N,2
484,4.9,N,2
485,4.9,N,11
486,4.9,N,11
487,4.9,N,9
488,4.9,N,9
489,4.88,N,2
490,4.88,N,2
491,4.88,N,24
492,4.89,N,24
493,4.92,N,4
494,4.93,N,4
495,4.92,N,13
496,4.91,N,13
497,4.89,N,8
498,4.91,N,16
499,4.94,N,23
500,4.94,N,9
501,4.94,N,12
502,4.93,N,14
503,4.92,N,11
504,4.93,N,16
505,4.95,N,24
506,4.97,N,16
507,4.97,N,0
508,4.95,N,0
509,4.95,N,13
510,4.98,N,9
511,4.98,N,9
512,4.97,N,9
513,4.96,N,6
514,4.97,N,9
515,4.98,N,16
516,4.99,N,16
517,5.01,N,22
518,5,N,19
519,5.01,N,9
520,5.01,N,19
521,5.01,N,19
522,5.01,N,9
523,5.03,N,9
524,5.01,N,9
525,5.01,N,9
526,4.99,N,2
527,5,N,0
528,5.02,N,2
529,5.02,N,1
530,5.01,N,26
531,5.01,N,9
532,5,N,26
533,5.02,N,13
534,5.04,N,1
535,5.03,N,1
536,5.02,N,1
537,5.01,N,9
538,4.99,N,2
539,5,N,2
540,5.02,N,2
541,5.02,N,2
542,5.01,N,2
543,4.99,N,2
544,4.98,N,2
545,4.97,N,2
546,4.96,N,4
547,4.98,N,4
548,4.98,N,4
549,4.98,N,4
550,4.96,N,3
551,4.93,N,11
552,4.93,N,3
553,4.95,N,3
554,4.96,N,11
555,4.94,N,21
556,4.93,N,11
557,4.92,N,11
558,4.92,N,18
559,4.95,N,18
560,4.93,N,18
561,4.92,N,18
562,4.91,N,4
563,4.91,N,11
564,4.91,N,4
565,4.92,N,4
566,4.92,N,7
567,4.91,N,4
568,4.9,N,7
569,4.91,N,7
570,4.92,N,7
571,4.93,N,7
572,4.91,N,7
573,4.9,N,7
574,4.88,N,7
575,4.88,N,7
576,4.88,N,7
577,4.88,N,7
578,4.88,N,7
579,4.89,N,7
580,4.9,N,17
581,4.9,N,17
582,4.9,N,7
583,4.89,N,7
584,4.89,N,5
585,4.86,N,20
586,4.86,N,7
587,4.87,N,7
588,4.89,N,24
589,4.9,N,7
590,4.89,N,17
591,4.87,N,17
592,4.84,N,27
593,4.84,N,21
594,4.86,N,20
595,4.87,N,20
596,4.86,N,20
597,4.85,N,12
598,4.85,N,12
599,4.84,N,7
600,4.86,N,3
601,4.86,N,3
602,4.85,N,1
603,4.82,N,21
604,4.82,N,21
605,4.82,N,4
606,4.81,N,12
607,4.83,N,12
608,4.85,N,18
609,4.82,N,7
610,4.8,N,6
611,4.81,N,3
612,4.82,N,11
613,4.84,N,7
614,4.84,N,12
615,4.83,N,12
616,4.81,N,12
617,4.8,N,7
618,4.8,N,24
619,4.81,N,6
620,4.8,N,6
621,4.81,N,7
622,4.78,N,0
623,4.79,N,17
624,4.81,N,17
625,4.81,N,7
626,4.8,N,6
627,4.79,N,27
628,4.78,N,7
629,4.78,N,7
630,4.79,N,1
631,4.81,N,20
632,4.8,N,7
633,4.8,N,12
634,4.78,N,13
635,4.78,N,7
636,4.78,N,7
637,4.79,N,7
638,4.79,N,6
639,4.81,N,10
640,4.81,N,12
641,4.82,N,12
642,4.81,N,17
643,4.81,N,6
644,4.82,N,6
645,4.81,N,6
646,4.8,N,1
647,4.82,N,14
648,4.82,N,17
649,4.82,N,17
650,4.82,N,12
651,4.82,N,5
652,4.8,N,27
653,4.8,N,0
654,4.81,N,6
655,4.81,N,24
656,4.82,N,20
657,4.83,N,10
658,4.83,N,12
659,4.82,N,1
660,4.83,N,15
661,4.82,N,6
662,4.83,N,6
663,4.82,N,1
664,4.82,N,21
665,4.84,N,14
666,4.85,N,14
667,4.83,N,3
668,4.84,N,9
669,4.84,N,2
670,4.81,N,2
671,4.82,N,2
672,4.83,N,1
673,4.84,N,2
674,4.83,N,26
675,4.82,N,4
676,4.83,N,12
677,4.84,N,16
678,4.86,N,3
679,4.85,N,16
680,4.84,N,6
681,4.83,N,1
682,4.83,N,1
683,4.82,N,0
684,4.84,N,0
685,4.85,N,3
686,4.85,N,11
687,4.85,N,16
688,4.84,N,16
689,4.83,N,2
690,4.84,N,2
691,4.85,N,1
692,4.85,N,1
693,4.85,N,9
694,4.85,N,17
695,4.86,N,3
696,4.9,N,3
697,4.92,N,16
698,4.92,N,1
699,4.92,N,0
700,4.91,N,0
701,4.92,N,0
702,4.92,N,9
703,4.95,N,9
704,4.97,N,9
705,5,N,9
706,5.01,N,16
707,5.03,N,16
708,5.04,N,16
709,5.06,N,16
710,5.06,N,9
711,5.04,N,9
712,5.04,N,9
713,5.08,N,19
714,5.13,N,9
715,5.13,N,9
716,5.13,N,9
717,5.11,N,9
718,5.08,N,19
719,5.04,N,0
720,5,N,0
721,4.99,N,2
722,4.95,N,2
723,4.91,N,26
724,4.86,N,26
725,4.82,N,26
726,4.81,N,26
727,4.81,N,26
728,4.81,N,26
729,4.82,N,26
730,4.8,N,26
731,4.81,N,3
732,4.82,N,3
733,4.83,N,3
734,4.82,N,3
735,4.81,N,11
736,4.8,N,14
737,4.81,N,2
738,4.81,N,2
739,4.82,N,4
740,4.81,N,2
741,4.81,N,11
742,4.81,N,11
743,4.8,N,11
744,4.81,N,8
745,4.82,N,6
746,4.84,N,6
747,4.84,N,8
748,4.81,N,8
749,4.8,N,17
750,4.8,N,24
751,4.81,N,20
752,4.78,N,1
753,4.78,N,1
754,4.77,N,21
755,4.78,N,7
756,4.78,N,11
757,4.8,N,12
758,4.81,N,10
759,4.81,N,10
760,4.78,N,6
761,4.78,N,6
762,4.8,N,22
763,4.81,N,23
764,4.8,N,4
765,4.77,N,4
766,4.78,N,0
767,4.8,N,11
768,4.84,N,11
769,4.85,N,15
770,4.86,N,9
771,4.84,N,10
772,4.77,N,10
773,4.7,N,0
774,4.66,N,1
775,4.65,N,23
776,4.63,N,23
777,4.61,N,24
778,4.59,N,25
779,4.56,N,11
780,4.52,N,11
781,4.5,N,1
782,4.47,N,21
783,4.44,N,21
784,4.42,N,21
785,4.36,N,12
786,4.3,N,18
787,4.26,N,18
788,4.22,N,18
789,4.21,N,3
790,4.2,N,11
791,4.23,N,7
792,4.28,N,7
793,4.31,N,12
794,4.33,N,12
795,4.38,N,12
796,4.45,N,12
797,4.54,N,6
798,4.61,N,6
799,4.65,N,6
800,4.66,N,6
801,4.7,N,17
802,4.73,N,17
803,4.78,N,17
804,4.81,N,17
805,4.83,N,5
806,4.83,N,5
807,4.84,N,5
808,4.84,N,5
809,4.84,N,5
810,4.85,N,5
811,4.86,N,5
812,4.87,N,5
813,4.86,N,19
814,4.86,N,19
815,4.86,N,19
816,4.86,N,19
817,4.86,N,19
818,4.86,N,19
819,4.85,N,19
820,4.84,N,19
821,4.86,N,26
822,4.91,N,9
823,4.93,N,9
824,4.91,N,9
825,4.89,N,26
826,4.87,N,1
827,4.87,N,1
828,4.89,N,1
829,4.89,N,3
830,4.89,N,2
831,4.88,N,14
832,4.89,N,11
833,4.91,N,11
834,4.9,N,2
835,4.9,N,2
836,4.9,N,2
837,4.9,N,6
838,4.89,N,9
839,4.9,N,2
840,4.92,N,4
841,4.93,N,24
842,4.92,N,16
843,4.91,N,16
844,4.89,N,16
845,4.9,N,0
846,4.94,N,0
847,4.95,N,1
848,4.96,N,10
849,4.94,N,10
850,4.92,N,9
851,4.92,N,3
852,4.95,N,24
853,4.99,N,1
854,5.01,N,1
855,4.98,N,2
856,4.95,N,13
857,4.94,N,13
858,4.97,N,0
859,4.99,N,4
860,5,N,23
861,4.98,N,6
862,4.97,N,2
863,4.98,N,16
864,4.98,N,11
865,5,N,4
866,5.03,N,9
867,5.02,N,10
868,5,N,0
869,5.02,N,16
870,5.01,N,16
871,5.01,N,24
872,5.01,N,23
873,5.01,N,1
874,5,N,0
875,5.02,N,0
876,5.03,N,16
877,5.03,N,3
878,5.04,N,9
879,5.02,N,9
880,4.99,N,10
881,4.97,N,0
882,4.98,N,1
883,5.01,N,1
884,5.05,N,24
885,5.06,N,9
886,5.02,N,13
887,4.99,N,13
888,4.98,N,13
889,5.01,N,1
890,5.03,N,2
891,5.02,N,2
892,5,N,9
893,4.99,N,12
894,4.98,N,4
895,4.99,N,4
896,4.97,N,24
897,4.94,N,6
898,4.94,N,8
899,4.93,N,8
900,4.94,N,0
901,4.95,N,4
902,4.95,N,4
903,4.92,N,4
904,4.91,N,18
905,4.91,N,21
906,4.91,N,3
907,4.91,N,3
908,4.9,N,3
909,4.89,N,4
910,4.88,N,4
911,4.87,N,4
912,4.89,N,11
913,4.9,N,3
914,4.9,N,7
915,4.89,N,6
916,4.86,N,12
917,4.87,N,4
918,4.87,N,7
919,4.88,N,7
920,4.88,N,4
921,4.87,N,7
922,4.85,N,7
923,4.85,N,7
924,4.86,N,17
925,4.87,N,7
926,4.86,N,7
927,4.85,N,7
928,4.82,N,7
929,4.85,N,7
930,4.86,N,7
931,4.86,N,7
932,4.86,N,12
933,4.85,N,7
934,4.83,N,7
935,4.83,N,7
936,4.84,N,7
937,4.85,N,7
938,4.85,N,7
939,4.83,N,7
940,4.81,N,7
941,4.8,N,7
942,4.81,N,7
943,4.83,N,7
944,4.83,N,6
945,4.83,N,27
946,4.82,N,27
947,4.81,N,17
948,4.81,N,25
949,4.82,N,20
950,4.83,N,20
951,4.81,N,7
952,4.79,N,7
953,4.78,N,7
954,4.78,N,7
955,4.79,N,7
956,4.79,N,7
957,4.79,N,21
958,4.78,N,21
959,4.77,N,7
960,4.78,N,7
961,4.79,N,18
962,4.79,N,18
963,4.78,N,12
964,4.75,N,7
965,4.76,N,7
966,4.77,N,7
967,4.78,N,7
968,4.78,N,7
969,4.75,N,12
970,4.75,N,7
971,4.76,N,7
972,4.76,N,7
973,4.78,N,6
974,4.77,N,6
975,4.75,N,6
976,4.75,N,7
977,4.75,N,17
978,4.77,N,7
979,4.78,N,25
980,4.78,N,5
981,4.77,N,27
982,4.76,N,17
983,4.75,N,15
984,4.76,N,5
985,4.77,N,20
986,4.76,N,20
987,4.75,N,20
988,4.75,N,27
989,4.76,N,7
990,4.78,N,7
991,4.81,N,24
992,4.79,N,10
993,4.77,N,10
994,4.76,N,15
995,4.77,N,1
996,4.77,N,1
997,4.79,N,23
998,4.78,N,23
999,4.77,N,12
1000,4.77,N,13
1001,4.79,N,13
1002,4.78,N,11
1003,4.79,N,6
1004,4.77,N,6
1005,4.77,N,20
1006,4.77,N,21
1007,4.8,N,0
1008,4.81,N,24
1009,4.8,N,24
1010,4.78,N,12
1011,4.76,N,16
1012,4.76,N,0
1013,4.78,N,1
1014,4.8,N,1
1015,4.8,N,1
1016,4.79,N,10
1017,4.78,N,12
1018,4.77,N,12
1019,4.79,N,3
1020,4.8,N,1
1021,4.8,N,6
1022,4.79,N,6
1023,4.8,N,13
1024,4.79,N,13
1025,4.8,N,12
1026,4.8,N,17
1027,4.79,N,23
1028,4.78,N,2
1029,4.78,N,6
1030,4.8,N,0
1031,4.81,N,11
1032,4.81,N,4
1033,4.81,N,12
1034,4.81,N,10
1035,4.8,N,8
1036,4.8,N,16
1037,4.82,N,6
1038,4.82,N,6
1039,4.82,N,6
1040,4.79,N,14
1041,4.79,N,0
1042,4.79,N,0
1043,4.82,N,0
1044,4.83,N,2
1045,4.82,N,16
1046,4.81,N,2
1047,4.79,N,27
1048,4.8,N,26
1049,4.82,N,1
1050,4.83,N,4
1051,4.83,N,6
1052,4.82,N,3
1053,4.8,N,3
1054,4.82,N,11
1055,4.84,N,1
1056,4.84,N,1
1057,4.85,N,0
1058,4.86,N,0
1059,4.87,N,13
1060,4.89,N,11
1061,4.9,N,9
1062,4.91,N,9
1063,4.93,N,9
1064,4.93,N,6
1065,4.94,N,16
1066,4.96,N,16
1067,4.99,N,16
1068,5.01,N,24
1069,5.03,N,9
1070,5.03,N,9
1071,5.02,N,0
1072,5.01,N,16
1073,5.01,N,9
1074,5.03,N,9
1075,5.05,N,9
1076,5.05,N,9
1077,5.05,N,19
1078,5.07,N,19
1079,5.08,N,16
1080,5.06,N,9
1081,5.01,N,9
1082,4.96,N,2
1083,4.9,N,0
1084,4.88,N,0
1085,4.84,N,2
1086,4.82,N,26
1087,4.77,N,26
1088,4.76,N,26
1089,4.75,N,26
1090,4.77,N,26
1091,4.77,N,26
1092,4.78,N,26
1093,4.78,N,26
1094,4.76,N,3
1095,4.76,N,3
1096,4.77,N,3
1097,4.78,N,3
1098,4.79,N,14
1099,4.77,N,14
1100,4.76,N,11
1101,4.74,N,11
1102,4.75,N,2
1103,4.77,N,2
1104,4.79,N,4
1105,4.78,N,4
1106,4.77,N,8
1107,4.77,N,8
1108,4.77,N,17
1109,4.77,N,4
1110,4.78,N,1
1111,4.78,N,1
1112,4.77,N,5
1113,4.76,N,17
1114,4.77,N,3
1115,4.77,N,3
1116,4.79,N,24
1117,4.79,N,5
1118,4.77,N,21
1119,4.76,N,21
1120,4.77,N,21
1121,4.77,N,24
1122,4.77,N,23
1123,4.78,N,23
1124,4.78,N,10
1125,4.78,N,27
1126,4.77,N,11
1127,4.76,N,11
1128,4.75,N,3
1129,4.74,N,20
1130,4.78,N,0
1131,4.8,N,21
1132,4.84,N,13
1133,4.88,N,3
1134,4.9,N,24
1135,4.88,N,12
1136,4.8,N,6
1137,4.68,N,0
1138,4.61,N,1
1139,4.61,N,1
1140,4.61,N,24
1141,4.62,N,18
1142,4.62,N,12
1143,4.57,N,7
1144,4.52,N,0
1145,4.49,N,8
1146,4.47,N,21
1147,4.45,N,6
1148,4.42,N,10
1149,4.38,N,4
1150,4.34,N,4
1151,4.28,N,25
1152,4.25,N,3
1153,4.22,N,3
1154,4.19,N,3
1155,4.18,N,7
1156,4.21,N,11
1157,4.25,N,4
1158,4.28,N,4
1159,4.3,N,12
1160,4.36,N,12
1161,4.43,N,6
1162,4.51,N,6
1163,4.57,N,6
1164,4.61,N,6
1165,4.65,N,17
1166,4.68,N,17
1167,4.74,N,17
1168,4.75,N,17
1169,4.79,N,5
1170,4.82,N,5
1171,4.84,N,5
1172,4.84,N,5
1173,4.83,N,5
1174,4.82,N,5
1175,4.83,N,5
1176,4.84,N,5
1177,4.83,N,20
1178,4.83,N,20
1179,4.83,N,19
1180,4.84,N,19
1181,4.85,N,19
1182,4.85,N,19
1183,4.84,N,19
1184,4.84,N,19
1185,4.82,N,1
1186,4.82,N,1
1187,4.85,N,2
1188,4.87,N,2
1189,4.86,N,3
1190,4.86,N,3
1191,4.84,N,26
1192,4.85,N,26
1193,4.85,N,2
1194,4.87,N,2
1195,4.85,N,1
1196,4.86,N,1
1197,4.84,N,4
1198,4.85,N,4
1199,4.85,N,11
1200,4.87,N,2
1201,4.88,N,16
1202,4.89,N,8
1203,4.86,N,8
1204,4.86,N,2
1205,4.88,N,14
1206,4.88,N,4
1207,4.88,N,4
1208,4.88,N,9
1209,4.88,N,16
1210,4.89,N,15
1211,4.92,N,11
1212,4.94,N,16
1213,4.92,N,9
1214,4.92,N,0
1215,4.9,N,0
1216,4.91,N,0
1217,4.92,N,24
1218,4.92,N,24
1219,4.92,N,24
1220,4.93,N,9
1221,4.93,N,13
1222,4.94,N,13
1223,4.94,N,13
1224,4.94,N,16
1225,4.95,N,9
1226,4.95,N,10
1227,4.93,N,10
1228,4.93,N,19
1229,4.96,N,2
1230,4.97,N,24
1231,4.99,N,24
1232,4.96,N,9
1233,4.95,N,2
1234,4.96,N,0
1235,4.97,N,0
1236,4.99,N,2
1237,4.99,N,9
1238,4.97,N,9
1239,4.97,N,9
1240,4.96,N,26
1241,4.97,N,24
1242,4.96,N,1
1243,4.96,N,1
1244,4.97,N,1
1245,4.98,N,13
1246,4.97,N,13
1247,4.97,N,13
1248,4.98,N,11
1249,4.97,N,9
1250,4.97,N,9
1251,4.95,N,2
1252,4.94,N,2
1253,4.95,N,24
1254,4.95,N,2
1255,4.94,N,4
1256,4.92,N,4
1257,4.91,N,0
1258,4.91,N,2
1259,4.91,N,8
1260,4.92,N,8
1261,4.91,N,18
1262,4.91,N,4
1263,4.89,N,4
1264,4.88,N,4
1265,4.88,N,3
1266,4.87,N,3
1267,4.87,N,3
1268,4.87,N,3
1269,4.86,N,11
1270,4.86,N,11
1271,4.87,N,4
1272,4.87,N,4
1273,4.88,N,12
1274,4.88,N,12
1275,4.87,N,6
1276,4.86,N,6
1277,4.85,N,4
1278,4.87,N,4
1279,4.87,N,7
1280,4.87,N,7
1281,4.87,N,17
1282,4.87,N,17
1283,4.86,N,17
1284,4.88,N,17
1285,4.87,N,20
1286,4.87,N,20
1287,4.85,N,20
1288,4.86,N,20
1289,4.86,N,7
1290,4.87,N,7
1291,4.87,N,7
1292,4.85,N,12
1293,4.85,N,21
1294,4.85,N,21
1295,4.84,N,21
1296,4.86,N,1
1297,4.86,N,12
1298,4.84,N,12
1299,4.84,N,12
1300,4.83,N,12
1301,4.85,N,3
1302,4.86,N,3
1303,4.85,N,3
1304,4.82,N,6
1305,4.83,N,4
1306,4.85,N,4
1307,4.85,N,11
1308,4.85,N,4
1309,4.85,N,6
1310,4.83,N,6
1311,4.81,N,6
1312,4.82,N,11
1313,4.81,N,7
1314,4.83,N,7
1315,4.84,N,25
1316,4.82,N,21
1317,4.81,N,17
1318,4.8,N,17
1319,4.82,N,7
1320,4.81,N,18
1321,4.81,N,20
1322,4.78,N,20
1323,4.77,N,7
1324,4.77,N,7
1325,4.79,N,7
1326,4.81,N,7
1327,4.81,N,6
1328,4.77,N,12
1329,4.77,N,15
1330,4.79,N,21
1331,4.79,N,7
1332,4.8,N,6
1333,4.8,N,12
1334,4.78,N,12
1335,4.77,N,17
1336,4.77,N,17
1337,4.77,N,24
1338,4.79,N,3
1339,4.79,N,20
1340,4.78,N,27
1341,4.75,N,13
1342,4.75,N,11
1343,4.78,N,7
1344,4.81,N,20
1345,4.82,N,6
1346,4.8,N,6
1347,4.79,N,15
1348,4.79,N,15
1349,4.81,N,22
1350,4.82,N,25
1351,4.83,N,12
1352,4.82,N,5
1353,4.8,N,19
1354,4.81,N,15
1355,4.8,N,24
1356,4.81,N,24
1357,4.81,N,9
1358,4.79,N,20
1359,4.8,N,0
1360,4.8,N,0
